BCCmagmom_arithmetic_average,NdUnfilled_arithmetic_average,num_electron,NdUnfilled_composition_average,heusler type_0,AtomicRadii_min_value,BCCmagmom_composition_average,GSmagmom_composition_average,Group_composition_average,Column_composition_average,heusler type_2,NUnfilled_composition_average,MendeleevNumber_composition_average,phi_composition_average,GSenergy_pa_max_value,GSenergy_pa_min_value,ElectronAffinity_composition_average,n_ws^third_composition_average,Electronegativity_composition_average,valence_composition_average,ICSDVolume_min_value,GSenergy_pa_composition_average,BCCenergy_pa_composition_average,Polarizability_composition_average,phi_difference
0.0215224,3.0,25,4.0,1.0,1.246,0.0161418,0.148848675,8.75,8.75,0.0,4.75,59.25,4.625,-8.93926069,-8.93926069,72.0,1.6174999999999995,1.8375,4.5,10.8,-7.018933766249999,-6.8831561025,8.977500000000003,0.9500000000000002
0.0215224,3.0,25,4.0,1.0,1.246,0.0161418,0.148848675,8.75,8.75,0.0,4.75,59.5,4.525,-8.93926069,-8.93926069,78.0,1.5724999999999998,1.805,4.5,10.8,-6.8855520725,-6.8018938875,9.55,0.9500000000000002
0.0,4.666666666666667,18,4.75,1.0,1.249,0.0,1.5875e-06,7.0,7.0,0.0,6.5,45.5,4.1875,-9.50571654,-9.50571654,47.775,1.53,1.5725,4.5,12.0,-7.260592322499999,-7.2079733625,11.95,1.4000000000000004
0.0,4.666666666666667,18,4.75,1.0,1.249,0.0,1.5875e-06,7.0,7.0,0.0,6.5,45.75,4.1625,-9.50571654,-9.50571654,43.775,1.5100000000000002,1.6225,4.5,12.0,-7.077300368125,-7.04002427,12.28,1.4000000000000004
0.0,4.666666666666667,18,4.75,1.0,1.249,0.0,1.5875e-06,7.0,7.0,0.0,6.5,46.0,4.1125,-9.50571654,-9.50571654,43.775,1.475,1.615,4.5,12.0,-6.9909370325,-6.95890286,12.6625,1.4000000000000004
0.0,4.666666666666667,19,4.75,1.0,1.249,0.0,1.5875e-06,7.25,7.25,0.0,6.25,46.75,4.3125,-9.50571654,-9.50571654,69.925,1.5575,1.645,4.75,12.0,-7.68046604375,-7.5209291775,11.6325,1.4500000000000002
0.0,4.666666666666667,19,4.75,1.0,1.249,0.0,1.5875e-06,7.25,7.25,0.0,6.25,47.0,4.275,-9.50571654,-9.50571654,66.525,1.525,1.6725,4.75,12.0,-7.478246428749999,-7.3650178025,11.71,1.4000000000000004
0.0,4.666666666666667,19,4.75,1.0,1.249,0.0,1.5875e-06,7.25,7.25,0.0,6.25,47.25,4.175000000000002,-9.50571654,-9.50571654,66.775,1.4925000000000002,1.66,4.75,12.0,-7.314498315,-7.26915794,12.015,1.4000000000000004
0.0,4.666666666666667,20,4.75,1.0,1.249,0.0,1.5875e-06,7.5,7.5,0.0,6.0,48.0,4.525,-9.50571654,-9.50571654,54.45,1.5950000000000002,1.7174999999999998,5.0,12.0,-7.674363803125,-7.46618563,11.1575,2.3
0.0,4.666666666666667,20,4.75,1.0,1.249,0.0,1.5875e-06,7.5,7.5,0.0,6.0,48.25,4.3375,-9.50571654,-9.50571654,55.775,1.5425,1.715,5.0,12.0,-7.486958821249999,-7.3491675775,11.3275,1.5499999999999998
0.0,4.666666666666667,20,4.75,1.0,1.249,0.0,1.5875e-06,7.5,7.5,0.0,6.0,48.5,4.237500000000002,-9.50571654,-9.50571654,61.775,1.4975,1.6825,5.0,12.0,-7.353577127499999,-7.2679053625,11.9,1.4000000000000004
